lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite
-22.6438757125,-43.2745507,Duque De Caxias,2.0,8.0,1.0
-22.784562313333332,-43.320016906666666,Duque De Caxias,10.0,12.0,3.0
-22.731669975,-43.315995199999996,Duque De Caxias,3.0,13.0,1.0
-22.596431333333335,-43.30416316666666,Duque De Caxias,1.0,4.0,0.0
-22.6941077,-43.267176649999996,Duque De Caxias,1.0,2.0,0.0
-22.776643786666668,-43.299824306666665,Duque De Caxias,4.0,15.0,3.0
-22.6367488,-43.217695875,Duque De Caxias,0.0,5.0,0.0
