lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite
-22.784100855555558,-43.42026424444444,Mesquita,7.0,7.0,0.0
-22.793912483333333,-43.434498966666666,Mesquita,2.0,5.0,1.0
-22.7825392125,-43.4057331125,Mesquita,2.0,8.0,3.0
-22.77505018,-43.43447834,Mesquita,6.0,11.0,0.0
-22.774990285714285,-43.416767785714285,Mesquita,5.0,7.0,2.0
-22.77052528,-43.42345146,Mesquita,2.0,6.0,0.0
-22.794416499999997,-43.419703925,Mesquita,3.0,4.0,0.0
-22.8060224,-43.43602155,Mesquita,2.0,5.0,0.0
