,lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite,dia
72,-22.839247344444445,-43.2696087,Rio De Janeiro,1.0,7.0,1.0,ter
73,-22.880998425,-43.55624465,Rio De Janeiro,2.0,1.0,0.0,ter
74,-22.8787635,-43.4841783375,Rio De Janeiro,0.0,7.0,1.0,ter
75,-22.846706791666666,-43.3091294375,Rio De Janeiro,3.0,17.0,3.0,ter
76,-22.8112425,-43.31492459166667,Rio De Janeiro,3.0,5.0,2.0,qui
77,-22.874055576923077,-43.43654836153846,Rio De Janeiro,1.0,9.0,3.0,qui
78,-22.869514886666668,-43.347971193333336,Rio De Janeiro,3.0,10.0,1.0,qui
79,-22.96222134,-43.19142196,Rio De Janeiro,1.0,2.0,1.0,qui
80,-22.915068650000002,-43.6742457,Rio De Janeiro,2.0,0.0,0.0,qui
81,-23.003084774999998,-43.442239025000006,Rio De Janeiro,0.0,3.0,0.0,qui
82,-22.80712670909091,-43.196141036363635,Rio De Janeiro,2.0,8.0,1.0,qui
83,-22.93980325,-43.57439431666667,Rio De Janeiro,2.0,2.0,2.0,qui
84,-22.82228007826087,-43.36323351739131,Rio De Janeiro,2.0,12.0,3.0,qui
85,-22.731125942857144,-43.450580357142854,Rio De Janeiro,0.0,4.0,1.0,qui
86,-22.919273822222223,-43.22604596666667,Rio De Janeiro,2.0,6.0,1.0,qui
87,-22.8959819,-43.28124230555556,Rio De Janeiro,4.0,7.0,4.0,qui
88,-22.81911906,-43.41234391,Rio De Janeiro,4.0,5.0,1.0,qui
89,-22.889989793333335,-43.38151198,Rio De Janeiro,3.0,9.0,2.0,qui
90,-22.9673139,-43.36718671,Rio De Janeiro,2.0,6.0,1.0,qui
91,-22.839247344444445,-43.2696087,Rio De Janeiro,1.0,7.0,1.0,qui
92,-22.880998425,-43.55624465,Rio De Janeiro,0.0,3.0,0.0,qui
93,-22.8787635,-43.4841783375,Rio De Janeiro,2.0,5.0,1.0,qui
94,-22.846706791666666,-43.3091294375,Rio De Janeiro,6.0,14.0,3.0,qui
95,-22.8112425,-43.31492459166667,Rio De Janeiro,1.0,1.0,0.0,sab
96,-22.874055576923077,-43.43654836153846,Rio De Janeiro,3.0,3.0,0.0,sab
97,-22.869514886666668,-43.347971193333336,Rio De Janeiro,2.0,0.0,0.0,sab
98,-22.96222134,-43.19142196,Rio De Janeiro,1.0,1.0,0.0,sab
99,-22.915068650000002,-43.6742457,Rio De Janeiro,0.0,0.0,0.0,sab
100,-23.003084774999998,-43.442239025000006,Rio De Janeiro,0.0,2.0,0.0,sab
101,-22.80712670909091,-43.196141036363635,Rio De Janeiro,0.0,0.0,0.0,sab
102,-22.93980325,-43.57439431666667,Rio De Janeiro,0.0,0.0,0.0,sab
103,-22.82228007826087,-43.36323351739131,Rio De Janeiro,3.0,2.0,0.0,sab
104,-22.731125942857144,-43.450580357142854,Rio De Janeiro,1.0,1.0,0.0,sab
105,-22.919273822222223,-43.22604596666667,Rio De Janeiro,0.0,1.0,0.0,sab
106,-22.8959819,-43.28124230555556,Rio De Janeiro,3.0,0.0,0.0,sab
107,-22.81911906,-43.41234391,Rio De Janeiro,1.0,0.0,0.0,sab
108,-22.889989793333335,-43.38151198,Rio De Janeiro,1.0,0.0,0.0,sab
109,-22.9673139,-43.36718671,Rio De Janeiro,2.0,0.0,0.0,sab
110,-22.839247344444445,-43.2696087,Rio De Janeiro,0.0,0.0,0.0,sab
111,-22.880998425,-43.55624465,Rio De Janeiro,0.0,2.0,0.0,sab
112,-22.8787635,-43.4841783375,Rio De Janeiro,0.0,0.0,0.0,sab
113,-22.846706791666666,-43.3091294375,Rio De Janeiro,1.0,1.0,0.0,sab
114,-22.718115796,-43.442044188,Nova Iguacu,1.0,19.0,1.0,seg
115,-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0,seg
116,-22.74355953125,-43.49379916875,Nova Iguacu,1.0,13.0,1.0,seg
117,-22.7543433,-43.46388466571429,Nova Iguacu,6.0,19.0,9.0,seg
118,-22.773958483333335,-43.54046471666666,Nova Iguacu,1.0,3.0,2.0,seg
119,-22.62590648,-43.41088428,Nova Iguacu,0.0,4.0,1.0,seg
120,-22.678830345454546,-43.45010651818182,Nova Iguacu,3.0,6.0,2.0,seg
121,-22.760998564705883,-43.43054065882353,Nova Iguacu,1.0,13.0,3.0,seg
122,-22.8527053,-43.5961906,Nova Iguacu,0.0,1.0,0.0,seg
123,-22.71749634,-43.52326816,Nova Iguacu,0.0,10.0,0.0,seg
124,-22.698414762068964,-43.46690223103448,Nova Iguacu,6.0,22.0,2.0,seg
125,-22.761978892857144,-43.51462082857143,Nova Iguacu,1.0,13.0,1.0,seg
126,-22.734254585714286,-43.47037805,Nova Iguacu,2.0,18.0,6.0,seg
127,-22.744764980555555,-43.44487098333333,Nova Iguacu,3.0,25.0,5.0,seg
128,-22.718115796,-43.442044188,Nova Iguacu,3.0,16.0,1.0,qua
129,-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0,qua
130,-22.74355953125,-43.49379916875,Nova Iguacu,5.0,8.0,1.0,qua
131,-22.7543433,-43.46388466571429,Nova Iguacu,11.0,14.0,9.0,qua
132,-22.773958483333335,-43.54046471666666,Nova Iguacu,0.0,4.0,2.0,qua
133,-22.62590648,-43.41088428,Nova Iguacu,0.0,4.0,1.0,qua
134,-22.678830345454546,-43.45010651818182,Nova Iguacu,2.0,7.0,2.0,qua
135,-22.760998564705883,-43.43054065882353,Nova Iguacu,4.0,10.0,3.0,qua
136,-22.8527053,-43.5961906,Nova Iguacu,0.0,1.0,0.0,qua
137,-22.71749634,-43.52326816,Nova Iguacu,3.0,7.0,0.0,qua
138,-22.698414762068964,-43.46690223103448,Nova Iguacu,6.0,22.0,2.0,qua
139,-22.761978892857144,-43.51462082857143,Nova Iguacu,1.0,12.0,1.0,qua
140,-22.734254585714286,-43.47037805,Nova Iguacu,4.0,16.0,6.0,qua
141,-22.744764980555555,-43.44487098333333,Nova Iguacu,4.0,23.0,5.0,qua
142,-22.718115796,-43.442044188,Nova Iguacu,3.0,10.0,3.0,sex
143,-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0,sex
144,-22.74355953125,-43.49379916875,Nova Iguacu,1.0,10.0,2.0,sex
145,-22.7543433,-43.46388466571429,Nova Iguacu,5.0,15.0,8.0,sex
146,-22.773958483333335,-43.54046471666666,Nova Iguacu,1.0,2.0,3.0,sex
147,-22.62590648,-43.41088428,Nova Iguacu,1.0,2.0,1.0,sex
148,-22.678830345454546,-43.45010651818182,Nova Iguacu,3.0,5.0,2.0,sex
149,-22.760998564705883,-43.43054065882353,Nova Iguacu,2.0,10.0,3.0,sex
150,-22.8527053,-43.5961906,Nova Iguacu,0.0,0.0,1.0,sex
151,-22.71749634,-43.52326816,Nova Iguacu,1.0,7.0,0.0,sex
152,-22.698414762068964,-43.46690223103448,Nova Iguacu,9.0,15.0,3.0,sex
153,-22.761978892857144,-43.51462082857143,Nova Iguacu,5.0,6.0,2.0,sex
154,-22.734254585714286,-43.47037805,Nova Iguacu,5.0,10.0,8.0,sex
155,-22.744764980555555,-43.44487098333333,Nova Iguacu,4.0,16.0,3.0,sex
156,-22.718115796,-43.442044188,Nova Iguacu,5.0,13.0,1.0,ter
157,-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0,ter
158,-22.74355953125,-43.49379916875,Nova Iguacu,4.0,6.0,2.0,ter
159,-22.7543433,-43.46388466571429,Nova Iguacu,6.0,15.0,8.0,ter
160,-22.773958483333335,-43.54046471666666,Nova Iguacu,0.0,4.0,2.0,ter
161,-22.62590648,-43.41088428,Nova Iguacu,1.0,3.0,1.0,ter
162,-22.678830345454546,-43.45010651818182,Nova Iguacu,1.0,8.0,2.0,ter
163,-22.760998564705883,-43.43054065882353,Nova Iguacu,3.0,9.0,3.0,ter
164,-22.8527053,-43.5961906,Nova Iguacu,0.0,1.0,0.0,ter
165,-22.71749634,-43.52326816,Nova Iguacu,4.0,4.0,0.0,ter
166,-22.698414762068964,-43.46690223103448,Nova Iguacu,2.0,25.0,3.0,ter
167,-22.761978892857144,-43.51462082857143,Nova Iguacu,3.0,10.0,1.0,ter
168,-22.734254585714286,-43.47037805,Nova Iguacu,3.0,13.0,6.0,ter
169,-22.744764980555555,-43.44487098333333,Nova Iguacu,6.0,18.0,3.0,ter
170,-22.718115796,-43.442044188,Nova Iguacu,6.0,12.0,1.0,qui
171,-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0,qui
172,-22.74355953125,-43.49379916875,Nova Iguacu,2.0,8.0,2.0,qui
173,-22.7543433,-43.46388466571429,Nova Iguacu,4.0,18.0,8.0,qui
174,-22.773958483333335,-43.54046471666666,Nova Iguacu,1.0,3.0,2.0,qui
175,-22.62590648,-43.41088428,Nova Iguacu,2.0,2.0,1.0,qui
176,-22.678830345454546,-43.45010651818182,Nova Iguacu,2.0,7.0,2.0,qui
177,-22.760998564705883,-43.43054065882353,Nova Iguacu,3.0,9.0,3.0,qui
178,-22.8527053,-43.5961906,Nova Iguacu,0.0,1.0,0.0,qui
179,-22.71749634,-43.52326816,Nova Iguacu,4.0,4.0,0.0,qui
180,-22.698414762068964,-43.46690223103448,Nova Iguacu,5.0,22.0,3.0,qui
181,-22.761978892857144,-43.51462082857143,Nova Iguacu,7.0,6.0,1.0,qui
182,-22.734254585714286,-43.47037805,Nova Iguacu,6.0,12.0,6.0,qui
183,-22.744764980555555,-43.44487098333333,Nova Iguacu,7.0,21.0,3.0,qui
184,-22.718115796,-43.442044188,Nova Iguacu,3.0,2.0,0.0,sab
185,-29.4475013,-50.5815754,Nova Iguacu,0.0,0.0,0.0,sab
186,-22.74355953125,-43.49379916875,Nova Iguacu,1.0,3.0,0.0,sab
187,-22.7543433,-43.46388466571429,Nova Iguacu,2.0,2.0,0.0,sab
188,-22.773958483333335,-43.54046471666666,Nova Iguacu,0.0,0.0,0.0,sab
189,-22.62590648,-43.41088428,Nova Iguacu,0.0,0.0,0.0,sab
190,-22.678830345454546,-43.45010651818182,Nova Iguacu,0.0,0.0,0.0,sab
191,-22.760998564705883,-43.43054065882353,Nova Iguacu,1.0,1.0,0.0,sab
192,-22.8527053,-43.5961906,Nova Iguacu,0.0,0.0,0.0,sab
193,-22.71749634,-43.52326816,Nova Iguacu,0.0,1.0,0.0,sab
194,-22.698414762068964,-43.46690223103448,Nova Iguacu,0.0,0.0,0.0,sab
195,-22.761978892857144,-43.51462082857143,Nova Iguacu,1.0,1.0,0.0,sab
196,-22.734254585714286,-43.47037805,Nova Iguacu,2.0,0.0,0.0,sab
197,-22.744764980555555,-43.44487098333333,Nova Iguacu,6.0,2.0,0.0,sab
