,lon,lat,cd_municipio,demanda_manha,demanda_tarde,demanda_noite,dia
64,-22.705550942857144,-43.43121224285714,Nova Iguacu,15.0,11.0,0.0,qui
65,-22.754187171698113,-43.46602107735849,Nova Iguacu,13.0,27.0,7.0,qui
66,-22.749970489655173,-43.42903319655172,Nova Iguacu,9.0,17.0,1.0,qui
67,-22.719191576190475,-43.52291241428571,Nova Iguacu,12.0,7.0,0.0,qui
68,-22.6665478,-43.5821442,Nova Iguacu,1.0,1.0,0.0,qui
69,-22.734453936363636,-43.47263668409091,Nova Iguacu,14.0,24.0,4.0,qui
70,-22.638728733333334,-43.40776205,Nova Iguacu,6.0,5.0,1.0,qui
71,-22.8713243,-43.4870367,Nova Iguacu,0.0,1.0,0.0,qui
72,-22.67869635652174,-43.44707259565217,Nova Iguacu,7.0,14.0,2.0,qui
73,-22.759308205882352,-43.44235019117647,Nova Iguacu,7.0,21.0,3.0,qui
74,-22.834939357142858,-43.60687934285714,Nova Iguacu,5.0,2.0,0.0,qui
75,-22.71318358,-43.461620333333336,Nova Iguacu,9.0,18.0,3.0,qui
76,-22.601894180000002,-43.41432008,Nova Iguacu,0.0,5.0,0.0,sex
77,-29.4475013,-50.5815754,Nova Iguacu,0.0,1.0,0.0,sex
78,-22.73271761967213,-43.4475087,Nova Iguacu,16.0,32.0,5.0,sex
79,-22.763022176923077,-43.51851187692308,Nova Iguacu,12.0,9.0,3.0,sex
80,-22.691778278571427,-43.46698731190476,Nova Iguacu,21.0,18.0,1.0,sex
81,-22.7820986,-43.554629219999995,Nova Iguacu,3.0,5.0,2.0,sex
82,-22.745290621428573,-43.49512059285714,Nova Iguacu,9.0,15.0,2.0,sex
83,-22.705550942857144,-43.43121224285714,Nova Iguacu,14.0,9.0,1.0,sex
84,-22.754187171698113,-43.46602107735849,Nova Iguacu,14.0,25.0,7.0,sex
85,-22.749970489655173,-43.42903319655172,Nova Iguacu,8.0,14.0,1.0,sex
86,-22.719191576190475,-43.52291241428571,Nova Iguacu,9.0,10.0,0.0,sex
87,-22.6665478,-43.5821442,Nova Iguacu,1.0,1.0,0.0,sex
88,-22.734453936363636,-43.47263668409091,Nova Iguacu,13.0,22.0,6.0,sex
89,-22.638728733333334,-43.40776205,Nova Iguacu,6.0,4.0,1.0,sex
90,-22.8713243,-43.4870367,Nova Iguacu,0.0,1.0,0.0,sex
91,-22.67869635652174,-43.44707259565217,Nova Iguacu,9.0,11.0,2.0,sex
92,-22.759308205882352,-43.44235019117647,Nova Iguacu,5.0,20.0,3.0,sex
93,-22.834939357142858,-43.60687934285714,Nova Iguacu,5.0,1.0,1.0,sex
94,-22.71318358,-43.461620333333336,Nova Iguacu,10.0,14.0,4.0,sex
95,-22.601894180000002,-43.41432008,Nova Iguacu,0.0,0.0,0.0,sab
96,-29.4475013,-50.5815754,Nova Iguacu,0.0,0.0,0.0,sab
97,-22.73271761967213,-43.4475087,Nova Iguacu,4.0,4.0,0.0,sab
98,-22.763022176923077,-43.51851187692308,Nova Iguacu,1.0,1.0,0.0,sab
99,-22.691778278571427,-43.46698731190476,Nova Iguacu,0.0,0.0,0.0,sab
100,-22.7820986,-43.554629219999995,Nova Iguacu,0.0,0.0,0.0,sab
101,-22.745290621428573,-43.49512059285714,Nova Iguacu,1.0,3.0,0.0,sab
102,-22.705550942857144,-43.43121224285714,Nova Iguacu,2.0,0.0,0.0,sab
103,-22.754187171698113,-43.46602107735849,Nova Iguacu,2.0,2.0,0.0,sab
104,-22.749970489655173,-43.42903319655172,Nova Iguacu,2.0,0.0,0.0,sab
105,-22.719191576190475,-43.52291241428571,Nova Iguacu,0.0,1.0,0.0,sab
106,-22.6665478,-43.5821442,Nova Iguacu,0.0,0.0,0.0,sab
107,-22.734453936363636,-43.47263668409091,Nova Iguacu,2.0,0.0,0.0,sab
108,-22.638728733333334,-43.40776205,Nova Iguacu,0.0,0.0,0.0,sab
109,-22.8713243,-43.4870367,Nova Iguacu,0.0,0.0,0.0,sab
110,-22.67869635652174,-43.44707259565217,Nova Iguacu,0.0,0.0,0.0,sab
111,-22.759308205882352,-43.44235019117647,Nova Iguacu,2.0,1.0,0.0,sab
112,-22.834939357142858,-43.60687934285714,Nova Iguacu,0.0,0.0,0.0,sab
113,-22.71318358,-43.461620333333336,Nova Iguacu,0.0,0.0,0.0,sab
114,-22.70080985,-43.54822695,Queimados,0.0,4.0,1.0,seg
115,-22.8817568,-43.6035097,Queimados,1.0,0.0,0.0,seg
116,-22.723764838461538,-43.560227030769234,Queimados,5.0,7.0,1.0,seg
117,-22.705309009090907,-43.56613363636364,Queimados,5.0,5.0,0.0,seg
118,-22.70080985,-43.54822695,Queimados,0.0,4.0,1.0,ter
119,-22.8817568,-43.6035097,Queimados,1.0,0.0,0.0,ter
120,-22.723764838461538,-43.560227030769234,Queimados,6.0,6.0,1.0,ter
121,-22.705309009090907,-43.56613363636364,Queimados,5.0,3.0,1.0,ter
122,-22.70080985,-43.54822695,Queimados,0.0,4.0,1.0,qua
123,-22.8817568,-43.6035097,Queimados,1.0,0.0,0.0,qua
124,-22.723764838461538,-43.560227030769234,Queimados,5.0,7.0,1.0,qua
125,-22.705309009090907,-43.56613363636364,Queimados,4.0,5.0,0.0,qua
126,-22.70080985,-43.54822695,Queimados,1.0,3.0,1.0,qui
127,-22.8817568,-43.6035097,Queimados,1.0,0.0,0.0,qui
128,-22.723764838461538,-43.560227030769234,Queimados,7.0,5.0,1.0,qui
129,-22.705309009090907,-43.56613363636364,Queimados,4.0,4.0,1.0,qui
130,-22.70080985,-43.54822695,Queimados,1.0,3.0,1.0,sex
131,-22.8817568,-43.6035097,Queimados,1.0,0.0,0.0,sex
132,-22.723764838461538,-43.560227030769234,Queimados,6.0,3.0,1.0,sex
133,-22.705309009090907,-43.56613363636364,Queimados,3.0,5.0,1.0,sex
134,-22.70080985,-43.54822695,Queimados,1.0,0.0,0.0,sab
135,-22.8817568,-43.6035097,Queimados,0.0,0.0,0.0,sab
136,-22.723764838461538,-43.560227030769234,Queimados,0.0,0.0,0.0,sab
137,-22.705309009090907,-43.56613363636364,Queimados,2.0,1.0,0.0,sab
138,-22.775881535714287,-43.29936692142857,Duque De Caxias,2.0,11.0,1.0,seg
139,-22.6438757125,-43.2745507,Duque De Caxias,0.0,7.0,1.0,seg
140,-22.784734375,-43.31915508125,Duque De Caxias,3.0,9.0,4.0,seg
141,-22.596431333333335,-43.30416316666666,Duque De Caxias,0.0,3.0,0.0,seg
142,-22.6941077,-43.267176649999996,Duque De Caxias,0.0,2.0,0.0,seg
143,-22.6367488,-43.217695875,Duque De Caxias,0.0,4.0,0.0,seg
144,-22.731669975,-43.315995199999996,Duque De Caxias,0.0,11.0,1.0,seg
145,-22.775881535714287,-43.29936692142857,Duque De Caxias,2.0,11.0,1.0,ter
146,-22.6438757125,-43.2745507,Duque De Caxias,3.0,3.0,0.0,ter
147,-22.784734375,-43.31915508125,Duque De Caxias,1.0,8.0,3.0,ter
148,-22.596431333333335,-43.30416316666666,Duque De Caxias,1.0,1.0,1.0,ter
149,-22.6941077,-43.267176649999996,Duque De Caxias,1.0,1.0,0.0,ter
150,-22.6367488,-43.217695875,Duque De Caxias,1.0,2.0,0.0,ter
151,-22.731669975,-43.315995199999996,Duque De Caxias,4.0,7.0,1.0,ter
152,-22.775881535714287,-43.29936692142857,Duque De Caxias,1.0,12.0,1.0,qua
153,-22.6438757125,-43.2745507,Duque De Caxias,1.0,6.0,1.0,qua
154,-22.784734375,-43.31915508125,Duque De Caxias,4.0,8.0,4.0,qua
155,-22.596431333333335,-43.30416316666666,Duque De Caxias,0.0,3.0,0.0,qua
156,-22.6941077,-43.267176649999996,Duque De Caxias,0.0,2.0,0.0,qua
157,-22.6367488,-43.217695875,Duque De Caxias,0.0,4.0,0.0,qua
158,-22.731669975,-43.315995199999996,Duque De Caxias,1.0,10.0,1.0,qua
159,-22.775881535714287,-43.29936692142857,Duque De Caxias,3.0,10.0,1.0,qui
160,-22.6438757125,-43.2745507,Duque De Caxias,3.0,5.0,0.0,qui
161,-22.784734375,-43.31915508125,Duque De Caxias,1.0,9.0,3.0,qui
162,-22.596431333333335,-43.30416316666666,Duque De Caxias,2.0,0.0,1.0,qui
163,-22.6941077,-43.267176649999996,Duque De Caxias,2.0,0.0,0.0,qui
164,-22.6367488,-43.217695875,Duque De Caxias,1.0,3.0,0.0,qui
165,-22.731669975,-43.315995199999996,Duque De Caxias,6.0,5.0,1.0,qui
166,-22.775881535714287,-43.29936692142857,Duque De Caxias,2.0,8.0,2.0,sex
167,-22.6438757125,-43.2745507,Duque De Caxias,1.0,5.0,0.0,sex
168,-22.784734375,-43.31915508125,Duque De Caxias,1.0,6.0,4.0,sex
169,-22.596431333333335,-43.30416316666666,Duque De Caxias,1.0,1.0,1.0,sex
170,-22.6941077,-43.267176649999996,Duque De Caxias,1.0,1.0,0.0,sex
171,-22.6367488,-43.217695875,Duque De Caxias,0.0,3.0,0.0,sex
172,-22.731669975,-43.315995199999996,Duque De Caxias,3.0,7.0,1.0,sex
173,-22.775881535714287,-43.29936692142857,Duque De Caxias,0.0,0.0,0.0,sab
174,-22.6438757125,-43.2745507,Duque De Caxias,1.0,1.0,0.0,sab
175,-22.784734375,-43.31915508125,Duque De Caxias,0.0,0.0,0.0,sab
176,-22.596431333333335,-43.30416316666666,Duque De Caxias,0.0,0.0,0.0,sab
177,-22.6941077,-43.267176649999996,Duque De Caxias,2.0,0.0,0.0,sab
178,-22.6367488,-43.217695875,Duque De Caxias,1.0,0.0,0.0,sab
